country_code,year,eurostat_production,fao_production,eumofa_production,eurostat_value,fao_value,eumofa_value,ratio_es_fao,ratio_es_eumo,logdiff_es_fao,logdiff_es_eumo,flag_large_gap_fao,flag_large_gap_eumo,notes
RO,2018,24597,12298,9826,67115389,30720828,24954000,2.0000813140348024,2.5032566659881947,0.6931471805599454,0.9175314394399283,FALSE,FALSE,
RO,2019,25256,12848,10091,74968917,31754832,27861042,1.9657534246575343,2.5028242988801903,0.6758373577222923,0.9173603142448243,FALSE,FALSE,
RO,2020,24300,12371,9442,77975735,39470089,27893432,1.964271279605529,2.5736072865918236,0.6750816469403222,0.9452437754822132,FALSE,FALSE,
RO,2021,23428,11714,8967,71720005,36587679,24696739,2,2.6126909780305563,0.693104499324745,0.9603118855146455,FALSE,FALSE,
RO,2022,22424,11211,8105,82403423,36065959,24820229,2.000178396218,2.7666872301048735,0.6931917746423171,1.0175718797387425,FALSE,FALSE,
RO,2023,22524,11264,7735,95955284,37294481,26587640,1.9996448863636365,2.9119586296056883,0.6929252296101946,1.0687410453434083,FALSE,FALSE,
SE,2018,13630,NA,99,57240284,NA,676000,NA,137.67676767676767,9.520101889570842,4.9149317035827504,FALSE,TRUE,"FAO missing, Eurostat present"
SE,2019,13768,NA,163,44816274,NA,920679,NA,84.46625766871166,9.530174967444372,4.430308539620174,FALSE,TRUE,"FAO missing, Eurostat present"
SE,2020,15078,NA,93,51052876,NA,587193,NA,162.1290322580645,9.621058326365796,5.0777635440957924,FALSE,TRUE,"FAO missing, Eurostat present"
SE,2021,22278,NA,93,611051,NA,611051,NA,239.5483870967742,10.011399809730523,5.46810502746052,FALSE,TRUE,"FAO missing, Eurostat present"
SE,2022,0,NA,1431,0,NA,10345899,NA,0,0,-7.266827347520591,FALSE,FALSE,"FAO missing, Eurostat present"
SE,2023,52,NA,1274,511900,NA,8713410,NA,0.04081632653061224,3.970291913552122,-3.1804095440404043,FALSE,FALSE,"FAO missing, Eurostat present"
SE,2024,8176,NA,NA,40125428,NA,NA,NA,NA,9.009080614161977,9.009080614161977,FALSE,FALSE,"FAO missing, Eurostat present"
SI,2018,0,NA,121,0,NA,336000,NA,0,0,-4.804021044733257,FALSE,FALSE,"FAO missing, Eurostat present"
SI,2019,0,NA,230,0,NA,559436,NA,0,0,-5.442417710521793,FALSE,FALSE,"FAO missing, Eurostat present"
SI,2020,2334,NA,324,0,NA,543050,NA,7.203703703703703,7.755767170102998,1.9719419877732607,FALSE,TRUE,"FAO missing, Eurostat present"
SI,2021,2362,NA,250,10701636,NA,643045,NA,9.448,7.767687277186908,2.242234338055124,FALSE,TRUE,"FAO missing, Eurostat present"
SI,2022,1256,NA,222,5675187,NA,731407,NA,5.657657657657658,7.136483208590247,1.7293114371301286,FALSE,TRUE,"FAO missing, Eurostat present"
SI,2023,587,NA,215,3368603,NA,793390,NA,2.730232558139535,6.376726947898627,1.0014485402144615,FALSE,FALSE,"FAO missing, Eurostat present"
SK,2018,4494,NA,1233,11045606,NA,2712000,NA,3.6447688564476888,8.410720946905721,1.292704742440388,FALSE,FALSE,"FAO missing, Eurostat present"
SK,2019,5377,NA,1739,14199868,NA,3993661,NA,3.092006900517539,8.59007183682881,1.1284314446202357,FALSE,FALSE,"FAO missing, Eurostat present"
SK,2020,4303,NA,1466,10992211,NA,3351178,NA,2.9351978171896316,8.36730010184162,1.0763253236986383,FALSE,FALSE,"FAO missing, Eurostat present"
SK,2021,4835,NA,1140,13981799,NA,2619337,NA,4.241228070175438,8.483843211734683,1.4441828618726076,FALSE,FALSE,"FAO missing, Eurostat present"
SK,2022,5362,NA,1631,16122503,NA,4181815,NA,3.2875536480686693,8.587278798982926,1.1897172634588733,FALSE,FALSE,"FAO missing, Eurostat present"
SK,2023,5536,NA,1706,17908327,NA,4792320,NA,3.2450175849941383,8.619208116822968,1.1767153940285269,FALSE,FALSE,"FAO missing, Eurostat present"
SK,2024,5137,NA,NA,18298031,NA,NA,NA,NA,8.544419177669829,8.544419177669829,FALSE,FALSE,"FAO missing, Eurostat present"
UK,2018,17485,NA,3,66287249,NA,48000,NA,5828.333333333333,9.769155839740836,8.382861478620946,FALSE,TRUE,"FAO missing, Eurostat present"
UK,2019,NA,NA,240,NA,NA,4196318,NA,NA,NA,NA,FALSE,FALSE,
