"country_code","year","eurostat_production","fao_production","eumofa_production","eurostat_value","fao_value","eumofa_value","ratio_es_fao","ratio_es_eumo","logdiff_es_fao","logdiff_es_eumo","flag_large_gap_fao","flag_large_gap_eumo","notes"
"DK",2018,NA,21384,810,NA,76984768,7706000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DK",2019,NA,23412,767,NA,82365636,6134246,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DK",2020,NA,35046,1442,NA,123105289,7381528,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DK",2021,NA,21446,1473,NA,72661585,11607429,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DK",2022,NA,18204,3051,NA,74472013,15912028,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DK",2023,NA,16966,NA,NA,76445102,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"EE",2018,NA,944,139,NA,4200794,872000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"EE",2019,NA,857,134,NA,3180015,4175667,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"EE",2020,NA,966,219,NA,3810096,1339941,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"EE",2021,NA,581,137,NA,3012329,860829,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"EE",2022,NA,506,123,NA,3401976,1016344,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"EE",2023,NA,643,133,NA,4310757,1194970,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"EL",2018,NA,NA,404,NA,NA,2782000,NA,NA,NA,NA,FALSE,FALSE,""
"EL",2019,NA,NA,398,NA,NA,2676520,NA,NA,NA,NA,FALSE,FALSE,""
"EL",2020,NA,NA,398,NA,NA,2617529,NA,NA,NA,NA,FALSE,FALSE,""
"EL",2021,NA,NA,298,NA,NA,2991065,NA,NA,NA,NA,FALSE,FALSE,""
"EL",2022,NA,NA,389,NA,NA,2710407,NA,NA,NA,NA,FALSE,FALSE,""
"EL",2023,NA,NA,185,NA,NA,357420,NA,NA,NA,NA,FALSE,FALSE,""
"ES",2018,NA,10928,361,NA,31898508,3602000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"ES",2019,NA,17492,508,NA,60176445,4398619,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"ES",2020,NA,16292,456,NA,56460458,3861715,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"ES",2021,NA,18508,145,NA,66269410,1078269,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"ES",2022,NA,16896,396,NA,68219886,4244012,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"ES",2023,NA,17952,73,NA,83400088,462380,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FI",2018,NA,2409,NA,NA,11555958,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
